y_mean,y_std,y_var,y_rms,y_max,y_min,y_peak_to_peak,y_skewness,y_kurtosis,y_crest_factor,y_shape_factor,y_impulse_factor,y_clearance_factor,y_fft_points,y_frequency_resolution,y_freq_min,y_freq_max,y_nyquist_frequency,y_dominant_frequency,y_dominant_amplitude,y_spectral_energy,y_spectral_centroid,y_bandwidth,y_peak1_freq,y_peak2_freq,y_peak3_freq,y_peak1_amp,y_peak2_amp,y_peak3_amp,window_id,start_sample,end_sample,start_time_s,end_time_s,center_time_s,window_duration_s,motor,speed,folder,source_file
1.5090454888504468e-06,0.13496306777859804,0.018215029664210448,0.13496306778703449,0.3081361428858974,-0.32599953087012945,0.6341356737560269,0.008412008237688728,-0.8113995831144263,2.4154721451985792,1.1797283793502777,2.8496010392208584,3.2307181611257474,1000,0.1,0.0,50.0,50.0,43.800000000000004,45.27325127884886,9107.596438219669,32.79556370691114,11.164667404347618,43.800000000000004,43.7,43.6,45.27325127884886,41.10767245889338,39.07362935201893,31,3000,3999,30.0,39.99,34.995000000000005,10.0,1,,M1_1260,bloco_004.csv
-1.1119088617854155e-06,0.1342090948149058,0.018012081131036375,0.13420909481951182,0.3081361428858974,-0.3294350298757011,0.6375711727615985,0.012580128831175551,-0.7530280113910535,2.4546401294095204,1.1920488436276457,2.9260509277846336,3.3485895608824228,1000,0.1,0.0,50.0,50.0,43.800000000000004,52.347907049144204,9006.13574514907,32.31602502416722,11.248829461376443,43.800000000000004,43.7,43.5,52.347907049144204,33.67816341726033,27.561400080281278,32,3500,4499,35.0,44.99,39.995000000000005,10.0,1,,M1_1260,bloco_004.csv
-0.00026180367190166984,0.1328503762480287,0.017649222469242786,0.13285063421152873,0.30795720760452117,-0.35082999399263504,0.6587872015971562,-0.043391357389933966,-0.6990328930624812,2.6407852403175816,1.1978848758227338,3.1633566996723346,3.639485460520945,1000,0.1,0.0,50.0,50.0,43.800000000000004,50.99738991578678,8824.796688907096,31.392380445199727,12.012997520882692,43.800000000000004,43.7,21.3,50.99738991578678,44.57223620380214,28.349936745495526,33,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_005.csv
4.007938805920651e-05,0.13375490525919756,0.017890374680896912,0.13375491126405137,0.30795720760452117,-0.35082999399263504,0.6587872015971562,-0.05300612289987839,-0.6740016902103387,2.62293167912202,1.2032499538291312,3.156042421800536,3.643950670352098,1000,0.1,0.0,50.0,50.0,43.800000000000004,51.21255855239098,8945.188950374088,32.11067890951702,11.14591537702372,43.800000000000004,43.7,43.900000000000006,51.21255855239098,43.47586869627116,25.842308839553205,34,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_005.csv
-0.00029283207920406597,0.134216421494172,0.018014047798701242,0.13421674094287886,0.31623261801726193,-0.33905946827489836,0.6552920862921603,-0.060450684106184246,-0.7189194536810812,2.5262084736448656,1.194844434730826,3.0184261357044226,3.461056224156185,1000,0.1,0.0,50.0,50.0,43.7,65.98274699138021,9007.12278767406,31.82960231487672,11.796355401224682,43.7,21.3,43.800000000000004,65.98274699138021,22.222794402027876,19.086464753613868,35,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_005.csv
-0.00014523550153848288,0.13345009150768097,0.01780892692340843,0.13345017053851724,0.31623261801726193,-0.3233596998804586,0.6395923178977205,-0.010377652692648532,-0.7658732732924292,2.4230744597447216,1.1939701039070296,2.8930784644758747,3.329088204740143,1000,0.1,0.0,50.0,50.0,43.800000000000004,47.871719163518186,8904.539354224733,32.44825102065567,11.581198094407489,43.800000000000004,43.7,43.6,47.871719163518186,45.032185657598134,28.883566245338685,36,1500,2499,15.0,24.99,19.994999999999997,10.0,1,,M1_1260,bloco_005.csv
0.00019378608785051152,0.13440170903073126,0.018063819390381347,0.1344018487351613,0.31314614789325607,-0.3359500217504345,0.6490961696436905,0.0036830020484378764,-0.7920874613532072,2.4995937549372824,1.1912046297600594,2.977527653400622,3.414054482973357,1000,0.1,0.0,50.0,50.0,43.7,62.51620542345404,9032.037082349478,31.542062509812617,11.74902899264895,43.7,43.900000000000006,21.200000000000003,62.51620542345404,37.46062184849561,18.51050329319625,37,2000,2999,20.0,29.99,24.994999999999997,10.0,1,,M1_1260,bloco_005.csv
0.00022821583068790524,0.13527758036097864,0.018300023748321036,0.135277772863048,0.3350926067223502,-0.37463201988429745,0.7097246266066477,-0.012199974053627915,-0.7201801217705759,2.769353841030233,1.191753084034389,3.300385980830262,3.764378783250538,1000,0.1,0.0,50.0,50.0,43.800000000000004,68.11544345020798,9150.122879227765,31.4615517045148,11.770212453436603,43.800000000000004,43.7,21.400000000000002,68.11544345020798,28.148171349788257,26.192673047084323,38,2500,3499,25.0,34.99,29.995,10.0,1,,M1_1260,bloco_005.csv
-0.00011548567286556585,0.13522121487848282,0.018284776953212827,0.13522126419374084,0.3350926067223502,-0.37463201988429745,0.7097246266066477,-0.015238135195947664,-0.6934890340015945,2.7705111479178033,1.1913517045271305,3.3006531784832918,3.7574212547276344,1000,0.1,0.0,50.0,50.0,43.800000000000004,70.56014589266785,9142.40443278962,31.13727468577989,11.16699811556301,43.800000000000004,21.5,43.7,70.56014589266785,23.314811062451184,20.7814000957541,39,3000,3999,30.0,39.99,34.995000000000005,10.0,1,,M1_1260,bloco_005.csv
-6.938382605570054e-05,0.13491930888501558,0.01820321991001024,0.13491932672573473,0.3288471142830877,-0.3348210752241065,0.6636681895071942,-0.03224072009653364,-0.8020437677759844,2.4816390901856034,1.1821323060383315,2.933625740435974,3.321400059885053,1000,0.1,0.0,50.0,50.0,43.7,61.846094122895856,9101.74337594213,32.218956063324164,11.480449959295477,43.7,43.800000000000004,21.5,61.846094122895856,33.80594324354034,28.31065139108218,40,3500,4499,35.0,44.99,39.995000000000005,10.0,1,,M1_1260,bloco_005.csv
